Date,DateText,Median Global Temp C Deviation,Bias Uncertainty (Lower 95 CI),Bias Uncertainty (Upper 95 CI),Measurement and Sampling Uncertainty (Lower 95 CI),Measurement and Sampling Uncertainty (Upper 95 CI),Coverage Uncertainty (Lower 95 CI),Coverage Uncertainty (Upper 95 CI),"Measurement, Sampling, and Bias Uncertainty (Lower 95 CI)","Measurement, Sampling, and Bias Uncertainty (Upper 95 CI)",Combined Uncertainty (Lower 95 CI),Combined Uncertainty (Upper 95 CI)
1851-08-01,1851/08,-0.157,-0.204,-0.106,-0.348,0.034,-0.431,0.11699999999999999,-0.354,0.040999999999999995,-0.494,0.18100000000000002
1851-09-01,1851/09,-0.10099999999999999,-0.154,-0.05,-0.319,0.11699999999999999,-0.389,0.187,-0.326,0.125,-0.466,0.265
1851-10-01,1851/10,-0.057,-0.109,0.005,-0.271,0.156,-0.315,0.2,-0.27699999999999997,0.16699999999999998,-0.395,0.28600000000000003
1851-11-01,1851/11,-0.02,-0.076,0.027999999999999997,-0.24,0.201,-0.253,0.214,-0.25,0.20600000000000002,-0.349,0.305
1851-12-01,1851/12,-0.051,-0.11,0.012,-0.245,0.14300000000000002,-0.3,0.198,-0.255,0.153,-0.373,0.271
1852-01-01,1852/01,-0.315,-0.371,-0.23800000000000002,-0.498,-0.132,-0.68,0.05,-0.507,-0.12,-0.727,0.1
1852-02-01,1852/02,-0.47700000000000004,-0.527,-0.409,-0.674,-0.28,-0.774,-0.18,-0.682,-0.267,-0.8370000000000001,-0.11199999999999999
1852-03-01,1852/03,-0.502,-0.568,-0.44799999999999995,-0.693,-0.312,-0.754,-0.251,-0.703,-0.301,-0.8240000000000001,-0.18
1852-04-01,1852/04,-0.557,-0.616,-0.48700000000000004,-0.754,-0.36,-0.785,-0.33,-0.763,-0.349,-0.863,-0.248
1852-05-01,1852/05,-0.21100000000000002,-0.266,-0.159,-0.39,-0.031,-0.45399999999999996,0.033,-0.4,-0.024,-0.519,0.096
1852-06-01,1852/06,-0.04,-0.102,0.017,-0.218,0.138,-0.25,0.171,-0.231,0.14300000000000002,-0.326,0.23800000000000002
1852-07-01,1852/07,-0.018000000000000002,-0.077,0.040999999999999995,-0.205,0.17,-0.26,0.225,-0.213,0.179,-0.32799999999999996,0.295
1852-08-01,1852/08,-0.20199999999999999,-0.255,-0.153,-0.386,-0.018000000000000002,-0.486,0.083,-0.396,-0.012,-0.547,0.139
1852-09-01,1852/09,-0.125,-0.17300000000000001,-0.07,-0.332,0.08199999999999999,-0.41600000000000004,0.16699999999999998,-0.33799999999999997,0.092,-0.485,0.239
1852-10-01,1852/10,-0.21600000000000003,-0.272,-0.159,-0.409,-0.022000000000000002,-0.452,0.021,-0.41600000000000004,-0.011000000000000001,-0.525,0.098
1852-11-01,1852/11,-0.193,-0.249,-0.141,-0.377,-0.009000000000000001,-0.408,0.022000000000000002,-0.387,-0.0,-0.483,0.095
1852-12-01,1852/12,0.073,0.013999999999999999,0.132,-0.10099999999999999,0.24600000000000002,-0.195,0.34,-0.114,0.257,-0.254,0.397
1853-01-01,1853/01,-0.182,-0.23199999999999998,-0.106,-0.354,-0.01,-0.49700000000000005,0.133,-0.361,0.003,-0.544,0.184
1853-02-01,1853/02,-0.327,-0.376,-0.261,-0.491,-0.163,-0.617,-0.036000000000000004,-0.502,-0.14800000000000002,-0.6659999999999999,0.015
1853-03-01,1853/03,-0.309,-0.371,-0.256,-0.475,-0.14300000000000002,-0.541,-0.078,-0.485,-0.131,-0.599,-0.016
1853-04-01,1853/04,-0.355,-0.41100000000000003,-0.284,-0.519,-0.19,-0.595,-0.114,-0.529,-0.175,-0.6509999999999999,-0.054000000000000006
1853-05-01,1853/05,-0.268,-0.325,-0.217,-0.43200000000000005,-0.10300000000000001,-0.52,-0.015,-0.444,-0.096,-0.5770000000000001,0.036000000000000004
1853-06-01,1853/06,-0.175,-0.23399999999999999,-0.121,-0.33299999999999996,-0.018000000000000002,-0.385,0.034,-0.34600000000000003,-0.011000000000000001,-0.447,0.09
1853-07-01,1853/07,-0.059000000000000004,-0.11599999999999999,-0.005,-0.22,0.10099999999999999,-0.319,0.201,-0.22899999999999998,0.111,-0.369,0.252
1853-08-01,1853/08,-0.14800000000000002,-0.201,-0.1,-0.303,0.008,-0.45399999999999996,0.159,-0.314,0.015,-0.49700000000000005,0.198
1853-09-01,1853/09,-0.40399999999999997,-0.455,-0.35600000000000004,-0.5660000000000001,-0.243,-0.7070000000000001,-0.102,-0.574,-0.233,-0.7509999999999999,-0.055999999999999994
1853-10-01,1853/10,-0.36200000000000004,-0.41200000000000003,-0.307,-0.528,-0.196,-0.609,-0.11599999999999999,-0.535,-0.185,-0.662,-0.057999999999999996
1853-11-01,1853/11,-0.255,-0.306,-0.203,-0.42100000000000004,-0.08900000000000001,-0.47100000000000003,-0.039,-0.431,-0.081,-0.534,0.022000000000000002
1853-12-01,1853/12,-0.43700000000000006,-0.494,-0.37799999999999995,-0.605,-0.26899999999999996,-0.675,-0.19899999999999998,-0.615,-0.259,-0.7340000000000001,-0.139
1854-01-01,1854/01,-0.365,-0.41200000000000003,-0.293,-0.517,-0.212,-0.677,-0.052000000000000005,-0.524,-0.19699999999999998,-0.7140000000000001,-0.009000000000000001
1854-02-01,1854/02,-0.282,-0.33399999999999996,-0.223,-0.433,-0.13,-0.584,0.021,-0.444,-0.115,-0.624,0.064
1854-03-01,1854/03,-0.28600000000000003,-0.34700000000000003,-0.23800000000000002,-0.439,-0.133,-0.504,-0.069,-0.449,-0.12,-0.557,-0.011000000000000001
1854-04-01,1854/04,-0.353,-0.41600000000000004,-0.287,-0.519,-0.188,-0.563,-0.14300000000000002,-0.53,-0.175,-0.628,-0.078
1854-05-01,1854/05,-0.233,-0.29100000000000004,-0.182,-0.39399999999999996,-0.07200000000000001,-0.46799999999999997,0.002,-0.406,-0.066,-0.526,0.054000000000000006
1854-06-01,1854/06,-0.21899999999999997,-0.276,-0.16699999999999998,-0.37,-0.068,-0.401,-0.037000000000000005,-0.382,-0.059000000000000004,-0.46299999999999997,0.023
1854-07-01,1854/07,-0.22699999999999998,-0.278,-0.175,-0.386,-0.067,-0.45399999999999996,0.001,-0.39399999999999996,-0.057999999999999996,-0.509,0.055999999999999994
1854-08-01,1854/08,-0.16699999999999998,-0.21899999999999997,-0.121,-0.307,-0.027000000000000003,-0.439,0.10400000000000001,-0.319,-0.021,-0.48,0.14
1854-09-01,1854/09,-0.11900000000000001,-0.174,-0.068,-0.268,0.031,-0.39399999999999996,0.157,-0.27699999999999997,0.042,-0.436,0.201
1854-10-01,1854/10,-0.192,-0.247,-0.134,-0.337,-0.047,-0.434,0.05,-0.345,-0.032,-0.47700000000000004,0.099
1854-11-01,1854/11,-0.36700000000000005,-0.418,-0.319,-0.509,-0.225,-0.589,-0.146,-0.52,-0.215,-0.637,-0.098
1854-12-01,1854/12,-0.233,-0.298,-0.17600000000000002,-0.38,-0.086,-0.502,0.036000000000000004,-0.39399999999999996,-0.075,-0.547,0.079
1855-01-01,1855/01,-0.16899999999999998,-0.21899999999999997,-0.10099999999999999,-0.313,-0.025,-0.513,0.175,-0.32299999999999995,-0.012,-0.545,0.209
1855-02-01,1855/02,-0.401,-0.452,-0.33799999999999997,-0.542,-0.26,-0.696,-0.106,-0.552,-0.242,-0.731,-0.065
1855-03-01,1855/03,-0.306,-0.368,-0.253,-0.455,-0.156,-0.561,-0.05,-0.466,-0.14300000000000002,-0.607,-0.002
1855-04-01,1855/04,-0.223,-0.28,-0.154,-0.368,-0.078,-0.44299999999999995,-0.003,-0.379,-0.063,-0.49200000000000005,0.05
1855-05-01,1855/05,-0.33799999999999997,-0.39399999999999996,-0.289,-0.48700000000000004,-0.18899999999999997,-0.5579999999999999,-0.11800000000000001,-0.499,-0.18100000000000002,-0.611,-0.068
1855-06-01,1855/06,-0.16699999999999998,-0.22699999999999998,-0.111,-0.315,-0.019,-0.354,0.02,-0.32799999999999996,-0.011000000000000001,-0.415,0.076
1855-07-01,1855/07,-0.271,-0.325,-0.21600000000000003,-0.41700000000000004,-0.126,-0.46799999999999997,-0.07400000000000001,-0.42700000000000005,-0.11699999999999999,-0.522,-0.021
1855-08-01,1855/08,-0.163,-0.21600000000000003,-0.11199999999999999,-0.298,-0.027999999999999997,-0.447,0.121,-0.311,-0.02,-0.485,0.154
1855-09-01,1855/09,-0.336,-0.387,-0.278,-0.479,-0.19399999999999998,-0.613,-0.06,-0.488,-0.18100000000000002,-0.6509999999999999,-0.018000000000000002
1855-10-01,1855/10,-0.217,-0.27899999999999997,-0.163,-0.36,-0.07400000000000001,-0.47700000000000004,0.042,-0.37200000000000005,-0.062,-0.519,0.086
1855-11-01,1855/11,-0.214,-0.27,-0.16,-0.36,-0.069,-0.45299999999999996,0.024,-0.37200000000000005,-0.055999999999999994,-0.5,0.07200000000000001
1855-12-01,1855/12,-0.518,-0.58,-0.457,-0.665,-0.37200000000000005,-0.8170000000000001,-0.22,-0.679,-0.359,-0.857,-0.18
1856-01-01,1856/01,-0.122,-0.175,-0.05,-0.26899999999999996,0.026000000000000002,-0.523,0.27899999999999997,-0.278,0.042,-0.55,0.313
1856-02-01,1856/02,-0.376,-0.426,-0.315,-0.521,-0.23199999999999998,-0.6920000000000001,-0.061,-0.531,-0.215,-0.726,-0.02
1856-03-01,1856/03,-0.528,-0.596,-0.474,-0.675,-0.381,-0.785,-0.272,-0.687,-0.36700000000000005,-0.8290000000000001,-0.22399999999999998
1856-04-01,1856/04,-0.38,-0.445,-0.308,-0.527,-0.233,-0.602,-0.158,-0.541,-0.22,-0.654,-0.106
1856-05-01,1856/05,-0.129,-0.185,-0.079,-0.27899999999999997,0.022000000000000002,-0.349,0.092,-0.293,0.028999999999999998,-0.405,0.141
1856-06-01,1856/06,-0.29100000000000004,-0.354,-0.23600000000000002,-0.442,-0.14,-0.48200000000000004,-0.1,-0.45399999999999996,-0.131,-0.5429999999999999,-0.043
1856-07-01,1856/07,-0.304,-0.361,-0.24600000000000002,-0.45299999999999996,-0.155,-0.534,-0.075,-0.46299999999999997,-0.14400000000000002,-0.583,-0.024
1856-08-01,1856/08,-0.309,-0.358,-0.258,-0.452,-0.166,-0.6,-0.018000000000000002,-0.461,-0.156,-0.637,0.02
1856-09-01,1856/09,-0.461,-0.51,-0.409,-0.608,-0.315,-0.74,-0.182,-0.616,-0.303,-0.779,-0.139
1856-10-01,1856/10,-0.391,-0.451,-0.33,-0.539,-0.244,-0.644,-0.139,-0.5479999999999999,-0.23,-0.688,-0.09
1856-11-01,1856/11,-0.608,-0.655,-0.551,-0.752,-0.46399999999999997,-0.82,-0.396,-0.759,-0.45,-0.867,-0.342
1856-12-01,1856/12,-0.449,-0.506,-0.38299999999999995,-0.6,-0.299,-0.7070000000000001,-0.192,-0.609,-0.284,-0.7509999999999999,-0.142
1857-01-01,1857/01,-0.513,-0.562,-0.44799999999999995,-0.662,-0.364,-0.848,-0.179,-0.67,-0.35200000000000004,-0.882,-0.141
1857-02-01,1857/02,-0.345,-0.395,-0.282,-0.49200000000000005,-0.198,-0.7170000000000001,0.027000000000000003,-0.5,-0.18,-0.746,0.065
1857-03-01,1857/03,-0.434,-0.493,-0.384,-0.581,-0.287,-0.6940000000000001,-0.17300000000000001,-0.59,-0.275,-0.737,-0.128
1857-04-01,1857/04,-0.649,-0.706,-0.585,-0.794,-0.503,-0.851,-0.446,-0.8079999999999999,-0.49200000000000005,-0.907,-0.39299999999999996
1857-05-01,1857/05,-0.57,-0.634,-0.521,-0.7120000000000001,-0.42700000000000005,-0.785,-0.354,-0.725,-0.419,-0.836,-0.308
1857-06-01,1857/06,-0.31,-0.379,-0.255,-0.451,-0.16899999999999998,-0.493,-0.127,-0.465,-0.16,-0.551,-0.07400000000000001
1857-07-01,1857/07,-0.541,-0.593,-0.489,-0.6859999999999999,-0.397,-0.7440000000000001,-0.33899999999999997,-0.695,-0.38799999999999996,-0.795,-0.287
1857-08-01,1857/08,-0.32899999999999996,-0.375,-0.27899999999999997,-0.475,-0.183,-0.602,-0.057,-0.483,-0.175,-0.642,-0.016
1857-09-01,1857/09,-0.39299999999999996,-0.442,-0.34299999999999997,-0.541,-0.24600000000000002,-0.659,-0.128,-0.5479999999999999,-0.23399999999999999,-0.7,-0.08199999999999999
1857-10-01,1857/10,-0.474,-0.5379999999999999,-0.41700000000000004,-0.621,-0.327,-0.716,-0.23199999999999998,-0.632,-0.315,-0.763,-0.184
1857-11-01,1857/11,-0.6679999999999999,-0.723,-0.612,-0.821,-0.514,-0.897,-0.43799999999999994,-0.83,-0.501,-0.948,-0.384
1857-12-01,1857/12,-0.358,-0.42100000000000004,-0.304,-0.508,-0.207,-0.645,-0.07,-0.523,-0.198,-0.69,-0.03
1858-01-01,1858/01,-0.528,-0.579,-0.462,-0.6779999999999999,-0.379,-0.8759999999999999,-0.18100000000000002,-0.687,-0.366,-0.91,-0.14400000000000002
1858-02-01,1858/02,-0.708,-0.763,-0.644,-0.855,-0.56,-1.043,-0.373,-0.865,-0.542,-1.0759999999999998,-0.332
1858-03-01,1858/03,-0.5479999999999999,-0.619,-0.499,-0.691,-0.406,-0.813,-0.284,-0.7070000000000001,-0.397,-0.858,-0.245
1858-04-01,1858/04,-0.512,-0.5710000000000001,-0.436,-0.667,-0.35700000000000004,-0.7170000000000001,-0.306,-0.677,-0.342,-0.775,-0.245
1858-05-01,1858/05,-0.653,-0.718,-0.605,-0.804,-0.502,-0.87,-0.436,-0.818,-0.495,-0.9259999999999999,-0.386
1858-06-01,1858/06,-0.5820000000000001,-0.654,-0.525,-0.737,-0.428,-0.787,-0.37799999999999995,-0.7509999999999999,-0.42,-0.8490000000000001,-0.322
1858-07-01,1858/07,-0.32899999999999996,-0.386,-0.276,-0.485,-0.174,-0.5329999999999999,-0.126,-0.494,-0.16399999999999998,-0.591,-0.067
1858-08-01,1858/08,-0.278,-0.32799999999999996,-0.233,-0.426,-0.13,-0.57,0.013000000000000001,-0.433,-0.121,-0.607,0.054000000000000006
1858-09-01,1858/09,-0.332,-0.38799999999999996,-0.285,-0.491,-0.17300000000000001,-0.611,-0.053,-0.5,-0.165,-0.6579999999999999,-0.006
1858-10-01,1858/10,-0.21100000000000002,-0.28300000000000003,-0.152,-0.387,-0.036000000000000004,-0.462,0.04,-0.39799999999999996,-0.027000000000000003,-0.524,0.10099999999999999
1858-11-01,1858/11,-0.643,-0.701,-0.5870000000000001,-0.8059999999999999,-0.48100000000000004,-0.885,-0.402,-0.8170000000000001,-0.47100000000000003,-0.9420000000000001,-0.34700000000000003
1858-12-01,1858/12,-0.304,-0.366,-0.242,-0.46399999999999997,-0.14300000000000002,-0.586,-0.021,-0.475,-0.13,-0.634,0.028999999999999998
1859-01-01,1859/01,-0.308,-0.365,-0.245,-0.466,-0.151,-0.703,0.087,-0.47600000000000003,-0.138,-0.737,0.122
1859-02-01,1859/02,-0.18899999999999997,-0.244,-0.13,-0.344,-0.034,-0.586,0.207,-0.35700000000000004,-0.021,-0.62,0.24100000000000002
1859-03-01,1859/03,-0.327,-0.39799999999999996,-0.27699999999999997,-0.494,-0.159,-0.611,-0.042,-0.506,-0.15,-0.6629999999999999,0.008
1859-04-01,1859/04,-0.195,-0.256,-0.12300000000000001,-0.374,-0.017,-0.41700000000000004,0.027000000000000003,-0.384,-0.003,-0.486,0.099
1859-05-01,1859/05,-0.307,-0.377,-0.257,-0.479,-0.135,-0.526,-0.08800000000000001,-0.489,-0.127,-0.5920000000000001,-0.023
1859-06-01,1859/06,-0.248,-0.32299999999999995,-0.193,-0.419,-0.077,-0.45,-0.046,-0.434,-0.068,-0.523,0.022000000000000002
1859-07-01,1859/07,-0.27399999999999997,-0.33799999999999997,-0.22,-0.447,-0.102,-0.485,-0.064,-0.45899999999999996,-0.095,-0.555,0.002
1859-08-01,1859/08,-0.1,-0.168,-0.048,-0.256,0.057,-0.366,0.166,-0.26899999999999996,0.063,-0.41600000000000004,0.21100000000000002
1859-09-01,1859/09,-0.565,-0.62,-0.516,-0.743,-0.387,-0.843,-0.287,-0.752,-0.379,-0.9,-0.23
1859-10-01,1859/10,-0.249,-0.313,-0.196,-0.42200000000000004,-0.077,-0.502,0.003,-0.433,-0.068,-0.562,0.061
1859-11-01,1859/11,-0.315,-0.376,-0.263,-0.491,-0.138,-0.586,-0.044000000000000004,-0.503,-0.128,-0.645,0.013999999999999999
1859-12-01,1859/12,-0.363,-0.426,-0.304,-0.53,-0.196,-0.67,-0.055999999999999994,-0.5429999999999999,-0.187,-0.72,-0.01
1860-01-01,1860/01,-0.18100000000000002,-0.239,-0.12300000000000001,-0.342,-0.02,-0.573,0.21100000000000002,-0.353,-0.01,-0.61,0.24600000000000002
1860-02-01,1860/02,-0.426,-0.48200000000000004,-0.36700000000000005,-0.597,-0.255,-0.8009999999999999,-0.051,-0.609,-0.244,-0.843,-0.009000000000000001
1860-03-01,1860/03,-0.642,-0.713,-0.59,-0.812,-0.473,-0.966,-0.319,-0.8270000000000001,-0.465,-1.016,-0.27399999999999997
1860-04-01,1860/04,-0.332,-0.395,-0.265,-0.5,-0.16399999999999998,-0.555,-0.109,-0.512,-0.153,-0.619,-0.046
1860-05-01,1860/05,-0.293,-0.368,-0.247,-0.465,-0.121,-0.527,-0.059000000000000004,-0.478,-0.113,-0.591,0.002
1860-06-01,1860/06,-0.309,-0.37799999999999995,-0.251,-0.486,-0.132,-0.519,-0.099,-0.499,-0.124,-0.5920000000000001,-0.028999999999999998
1860-07-01,1860/07,-0.109,-0.172,-0.057999999999999996,-0.27399999999999997,0.057,-0.31,0.092,-0.284,0.065,-0.376,0.156
1860-08-01,1860/08,-0.182,-0.23800000000000002,-0.125,-0.344,-0.021,-0.47,0.105,-0.353,-0.012,-0.517,0.152
1860-09-01,1860/09,-0.217,-0.268,-0.159,-0.38799999999999996,-0.047,-0.49700000000000005,0.062,-0.396,-0.036000000000000004,-0.5489999999999999,0.11599999999999999
1860-10-01,1860/10,-0.195,-0.258,-0.14300000000000002,-0.364,-0.026000000000000002,-0.45,0.06,-0.379,-0.019,-0.51,0.114
1860-11-01,1860/11,-0.515,-0.581,-0.46,-0.6809999999999999,-0.35,-0.7759999999999999,-0.254,-0.693,-0.33899999999999997,-0.831,-0.2
1860-12-01,1860/12,-0.762,-0.8390000000000001,-0.7040000000000001,-0.937,-0.5870000000000001,-1.125,-0.4,-0.955,-0.581,-1.175,-0.36
1861-01-01,1861/01,-0.893,-0.96,-0.833,-1.0659999999999998,-0.721,-1.3359999999999999,-0.451,-1.081,-0.71,-1.375,-0.41600000000000004
1861-02-01,1861/02,-0.508,-0.5770000000000001,-0.444,-0.677,-0.33799999999999997,-1.0070000000000001,-0.008,-0.695,-0.327,-1.043,0.021
1861-03-01,1861/03,-0.46399999999999997,-0.5529999999999999,-0.39899999999999997,-0.654,-0.273,-0.879,-0.048,-0.6709999999999999,-0.261,-0.929,-0.002
1861-04-01,1861/04,-0.386,-0.45799999999999996,-0.319,-0.583,-0.18899999999999997,-0.65,-0.121,-0.595,-0.175,-0.722,-0.047
1861-05-01,1861/05,-0.768,-0.8590000000000001,-0.708,-0.966,-0.57,-1.025,-0.511,-0.98,-0.5579999999999999,-1.101,-0.436
1861-06-01,1861/06,-0.18899999999999997,-0.281,-0.125,-0.365,-0.013000000000000001,-0.441,0.062,-0.382,0.001,-0.506,0.126
1861-07-01,1861/07,-0.221,-0.316,-0.14300000000000002,-0.389,-0.053,-0.469,0.026000000000000002,-0.401,-0.034,-0.525,0.091
1861-08-01,1861/08,-0.094,-0.16,-0.037000000000000005,-0.26899999999999996,0.081,-0.4,0.212,-0.282,0.08900000000000001,-0.45399999999999996,0.262
1861-09-01,1861/09,-0.33,-0.402,-0.272,-0.502,-0.157,-0.637,-0.022000000000000002,-0.516,-0.146,-0.69,0.027999999999999997
1861-10-01,1861/10,-0.36200000000000004,-0.43200000000000005,-0.313,-0.535,-0.19,-0.6659999999999999,-0.059000000000000004,-0.5529999999999999,-0.183,-0.722,-0.011000000000000001
1861-11-01,1861/11,-0.41700000000000004,-0.484,-0.368,-0.59,-0.245,-0.735,-0.1,-0.607,-0.237,-0.789,-0.054000000000000006
1861-12-01,1861/12,-0.247,-0.336,-0.174,-0.42,-0.07400000000000001,-0.6609999999999999,0.16699999999999998,-0.43799999999999994,-0.062,-0.7040000000000001,0.20600000000000002
1862-01-01,1862/01,-0.742,-0.818,-0.672,-0.929,-0.556,-1.285,-0.2,-0.946,-0.544,-1.3230000000000002,-0.16699999999999998
1862-02-01,1862/02,-0.78,-0.858,-0.706,-0.97,-0.59,-1.375,-0.184,-0.988,-0.578,-1.412,-0.153
1862-03-01,1862/03,-0.40299999999999997,-0.475,-0.345,-0.593,-0.214,-0.794,-0.013000000000000001,-0.609,-0.204,-0.846,0.034
1862-04-01,1862/04,-0.24,-0.306,-0.165,-0.43200000000000005,-0.047,-0.496,0.017,-0.44299999999999995,-0.031,-0.565,0.092
1862-05-01,1862/05,-0.225,-0.302,-0.17600000000000002,-0.401,-0.048,-0.46399999999999997,0.013999999999999999,-0.415,-0.039,-0.531,0.078
1862-06-01,1862/06,-0.336,-0.406,-0.273,-0.51,-0.162,-0.557,-0.115,-0.521,-0.15,-0.624,-0.047
1862-07-01,1862/07,-0.344,-0.419,-0.287,-0.523,-0.165,-0.581,-0.10800000000000001,-0.537,-0.159,-0.6509999999999999,-0.045
1862-08-01,1862/08,-0.7,-0.774,-0.6409999999999999,-0.873,-0.527,-0.998,-0.402,-0.888,-0.519,-1.053,-0.353
1862-09-01,1862/09,-0.42,-0.483,-0.36700000000000005,-0.591,-0.249,-0.726,-0.114,-0.603,-0.23800000000000002,-0.777,-0.064
1862-10-01,1862/10,-0.42,-0.503,-0.359,-0.595,-0.24600000000000002,-0.764,-0.077,-0.613,-0.235,-0.815,-0.031
1862-11-01,1862/11,-0.7659999999999999,-0.845,-0.7140000000000001,-0.9540000000000001,-0.578,-1.135,-0.396,-0.973,-0.5710000000000001,-1.192,-0.35100000000000003
1862-12-01,1862/12,-0.887,-0.978,-0.812,-1.071,-0.7020000000000001,-1.319,-0.455,-1.093,-0.691,-1.368,-0.415
1863-01-01,1863/01,0.122,0.055,0.19,-0.071,0.314,-0.409,0.652,-0.08199999999999999,0.32899999999999996,-0.446,0.6920000000000001
1863-02-01,1863/02,-0.024,-0.09300000000000001,0.047,-0.222,0.174,-0.58,0.5329999999999999,-0.24100000000000002,0.183,-0.624,0.5670000000000001
1863-03-01,1863/03,-0.365,-0.442,-0.306,-0.5579999999999999,-0.17300000000000001,-0.758,0.027999999999999997,-0.573,-0.163,-0.8109999999999999,0.075
1863-04-01,1863/04,-0.244,-0.315,-0.17600000000000002,-0.436,-0.052000000000000005,-0.514,0.025,-0.447,-0.035,-0.58,0.098
1863-05-01,1863/05,-0.32899999999999996,-0.406,-0.27899999999999997,-0.508,-0.15,-0.57,-0.08800000000000001,-0.522,-0.14,-0.638,-0.023
1863-06-01,1863/06,-0.402,-0.478,-0.336,-0.584,-0.22,-0.629,-0.175,-0.599,-0.21,-0.703,-0.105
1863-07-01,1863/07,-0.423,-0.51,-0.358,-0.61,-0.23600000000000002,-0.664,-0.182,-0.625,-0.225,-0.738,-0.11199999999999999
1863-08-01,1863/08,-0.326,-0.397,-0.263,-0.511,-0.141,-0.629,-0.023,-0.525,-0.131,-0.6890000000000001,0.034
1863-09-01,1863/09,-0.316,-0.39299999999999996,-0.25,-0.499,-0.134,-0.636,0.004,-0.514,-0.121,-0.6920000000000001,0.057999999999999996
1863-10-01,1863/10,-0.384,-0.45299999999999996,-0.325,-0.5760000000000001,-0.192,-0.727,-0.040999999999999995,-0.596,-0.185,-0.79,0.01
1863-11-01,1863/11,-0.32899999999999996,-0.406,-0.266,-0.527,-0.13,-0.675,0.017,-0.5429999999999999,-0.122,-0.737,0.073
1863-12-01,1863/12,-0.341,-0.423,-0.262,-0.531,-0.151,-0.755,0.073,-0.55,-0.138,-0.8059999999999999,0.11800000000000001
1864-01-01,1864/01,-0.941,-1.014,-0.873,-1.1340000000000001,-0.748,-1.472,-0.41,-1.147,-0.736,-1.511,-0.37200000000000005
1864-02-01,1864/02,-0.632,-0.7040000000000001,-0.562,-0.825,-0.439,-1.161,-0.10300000000000001,-0.8420000000000001,-0.43,-1.203,-0.068
